2017-12-16-10-10-30    UserID [19]    Transaction Complete 
2017-12-16-10-10-30    UserID [46]    Transaction Complete 
2017-12-16-10-10-31    UserID [42]    Transaction Complete 
2017-12-16-10-10-31    UserID [1]    Transaction Complete 
2017-12-16-10-10-31    UserID [30]    Transaction Complete 
2017-12-16-10-10-31    UserID [33]    Transaction Complete 
2017-12-16-10-10-31    UserID [12]    Transaction Complete 
2017-12-16-10-10-31    UserID [41]    Transaction Complete 
2017-12-16-10-10-31    UserID [25]    Transaction Complete 
2017-12-16-10-10-31    UserID [36]    Transaction Complete 
2017-12-16-10-10-31    UserID [6]    Transaction Complete 
2017-12-16-10-10-31    UserID [20]    Transaction Complete 
2017-12-16-10-10-31    UserID [45]    Transaction Complete 
2017-12-16-10-10-31    UserID [23]    Transaction Complete 
2017-12-16-10-10-31    UserID [7]    Transaction Complete 
2017-12-16-10-10-31    UserID [16]    Transaction Complete 
2017-12-16-10-10-31    UserID [11]    Transaction Complete 
2017-12-16-10-10-31    UserID [34]    Transaction Complete 
2017-12-16-10-10-31    UserID [26]    Transaction Complete 
2017-12-16-10-10-31    UserID [2]    Transaction Complete 
2017-12-16-10-10-31    UserID [9]    Transaction Complete 
2017-12-16-10-10-31    UserID [8]    Transaction Complete 
2017-12-16-10-10-31    UserID [13]    Transaction Complete 
2017-12-16-10-10-31    UserID [0]    Transaction Complete 
2017-12-16-10-10-31    UserID [5]    Transaction Complete 
2017-12-16-10-10-31    UserID [18]    Transaction Complete 
2017-12-16-10-10-31    UserID [27]    Transaction Complete 
2017-12-16-10-10-31    UserID [49]    Transaction Complete 
2017-12-16-10-10-31    UserID [47]    Transaction Complete 
2017-12-16-10-10-31    UserID [10]    Transaction Complete 
2017-12-16-10-10-31    UserID [29]    Transaction Complete 
2017-12-16-10-10-31    UserID [17]    Transaction Complete 
2017-12-16-10-10-31    UserID [22]    Transaction Complete 
2017-12-16-10-10-31    UserID [38]    Transaction Complete 
2017-12-16-10-10-31    UserID [40]    Transaction Complete 
2017-12-16-10-10-31    UserID [48]    Transaction Complete 
2017-12-16-10-10-31    UserID [4]    Transaction Complete 
2017-12-16-10-10-31    UserID [31]    Transaction Complete 
2017-12-16-10-10-31    UserID [15]    Transaction Complete 
2017-12-16-10-10-31    UserID [43]    Transaction Complete 
2017-12-16-10-10-31    UserID [39]    Transaction Complete 
2017-12-16-10-10-31    UserID [24]    Transaction Complete 
2017-12-16-10-10-31    UserID [14]    Transaction Complete 
2017-12-16-10-10-31    UserID [44]    Transaction Complete 
2017-12-16-10-10-31    UserID [16]    Transaction Complete 
2017-12-16-10-10-31    UserID [33]    Transaction Complete 
2017-12-16-10-10-31    UserID [20]    Transaction Complete 
2017-12-16-10-10-31    UserID [19]    Transaction Complete 
2017-12-16-10-10-31    UserID [36]    Transaction Complete 
2017-12-16-10-10-31    UserID [12]    Transaction Complete 
2017-12-16-10-10-31    UserID [1]    Transaction Complete 
2017-12-16-10-10-31    UserID [2]    Transaction Complete 
2017-12-16-10-10-31    UserID [23]    Transaction Complete 
2017-12-16-10-10-31    UserID [32]    Transaction Complete 
2017-12-16-10-10-31    UserID [45]    Transaction Complete 
2017-12-16-10-10-31    UserID [29]    Transaction Complete 
2017-12-16-10-10-31    UserID [26]    Transaction Complete 
2017-12-16-10-10-31    UserID [27]    Transaction Complete 
2017-12-16-10-10-31    UserID [21]    Transaction Complete 
2017-12-16-10-10-32    UserID [3]    Transaction Complete 
2017-12-16-10-10-32    UserID [5]    Transaction Complete 
2017-12-16-10-10-32    UserID [28]    Transaction Complete 
2017-12-16-10-10-32    UserID [47]    Transaction Complete 
2017-12-16-10-10-32    UserID [37]    Transaction Complete 
2017-12-16-10-10-32    UserID [41]    Transaction Complete 
2017-12-16-10-10-32    UserID [40]    Transaction Complete 
2017-12-16-10-10-32    UserID [49]    Transaction Complete 
2017-12-16-10-10-32    UserID [30]    Transaction Complete 
2017-12-16-10-10-32    UserID [9]    Transaction Complete 
2017-12-16-10-10-32    UserID [42]    Transaction Complete 
2017-12-16-10-10-32    UserID [13]    Transaction Complete 
2017-12-16-10-10-32    UserID [15]    Transaction Complete 
2017-12-16-10-10-32    UserID [46]    Transaction Complete 
2017-12-16-10-10-32    UserID [6]    Transaction Complete 
2017-12-16-10-10-32    UserID [34]    Transaction Complete 
2017-12-16-10-10-32    UserID [10]    Transaction Complete 
2017-12-16-10-10-32    UserID [35]    Transaction Complete 
2017-12-16-10-10-32    UserID [11]    Transaction Complete 
2017-12-16-10-10-32    UserID [25]    Transaction Complete 
2017-12-16-10-10-32    UserID [17]    Transaction Complete 
2017-12-16-10-10-32    UserID [48]    Transaction Complete 
2017-12-16-10-10-32    UserID [39]    Transaction Complete 
2017-12-16-10-10-32    UserID [43]    Transaction Complete 
2017-12-16-10-10-32    UserID [20]    Transaction Complete 
2017-12-16-10-10-32    UserID [4]    Transaction Complete 
2017-12-16-10-10-32    UserID [0]    Transaction Complete 
2017-12-16-10-10-32    UserID [38]    Transaction Complete 
2017-12-16-10-10-32    UserID [33]    Transaction Complete 
2017-12-16-10-10-32    UserID [18]    Transaction Complete 
2017-12-16-10-10-32    UserID [24]    Transaction Complete 
2017-12-16-10-10-32    UserID [8]    Transaction Complete 
2017-12-16-10-10-32    UserID [7]    Transaction Complete 
2017-12-16-10-10-32    UserID [40]    Transaction Complete 
2017-12-16-10-10-32    UserID [31]    Transaction Complete 
2017-12-16-10-10-32    UserID [36]    Transaction Complete 
2017-12-16-10-10-32    UserID [45]    Transaction Complete 
2017-12-16-10-10-32    UserID [28]    Transaction Complete 
2017-12-16-10-10-32    UserID [12]    Transaction Complete 
2017-12-16-10-10-32    UserID [3]    Transaction Complete 
2017-12-16-10-10-32    UserID [44]    Transaction Complete 
2017-12-16-10-10-32    UserID [32]    Transaction Complete 
2017-12-16-10-10-32    UserID [16]    Transaction Complete 
2017-12-16-10-10-32    UserID [27]    Transaction Complete 
2017-12-16-10-10-32    UserID [14]    Transaction Complete 
2017-12-16-10-10-32    UserID [1]    Transaction Complete 
2017-12-16-10-10-32    UserID [19]    Transaction Complete 
2017-12-16-10-10-32    UserID [5]    Transaction Complete 
2017-12-16-10-10-32    UserID [22]    Transaction Complete 
2017-12-16-10-10-32    UserID [37]    Transaction Complete 
2017-12-16-10-10-32    UserID [23]    Transaction Complete 
2017-12-16-10-10-32    UserID [29]    Transaction Complete 
2017-12-16-10-10-32    UserID [21]    Transaction Complete 
2017-12-16-10-10-33    UserID [30]    Transaction Complete 
2017-12-16-10-10-33    UserID [42]    Transaction Complete 
2017-12-16-10-10-33    UserID [15]    Transaction Complete 
2017-12-16-10-10-33    UserID [7]    Transaction Complete 
2017-12-16-10-10-33    UserID [38]    Transaction Complete 
2017-12-16-10-10-33    UserID [2]    Transaction Complete 
2017-12-16-10-10-33    UserID [49]    Transaction Complete 
2017-12-16-10-10-33    UserID [26]    Transaction Complete 
2017-12-16-10-10-33    UserID [17]    Transaction Complete 
2017-12-16-10-10-33    UserID [41]    Transaction Complete 
2017-12-16-10-10-33    UserID [4]    Transaction Complete 
2017-12-16-10-10-33    UserID [11]    Transaction Complete 
2017-12-16-10-10-33    UserID [43]    Transaction Complete 
2017-12-16-10-10-33    UserID [46]    Transaction Complete 
2017-12-16-10-10-33    UserID [9]    Transaction Complete 
2017-12-16-10-10-33    UserID [47]    Transaction Complete 
2017-12-16-10-10-33    UserID [20]    Transaction Complete 
2017-12-16-10-10-33    UserID [10]    Transaction Complete 
2017-12-16-10-10-33    UserID [18]    Transaction Complete 
2017-12-16-10-10-33    UserID [34]    Transaction Complete 
2017-12-16-10-10-33    UserID [6]    Transaction Complete 
2017-12-16-10-10-33    UserID [25]    Transaction Complete 
2017-12-16-10-10-33    UserID [24]    Transaction Complete 
2017-12-16-10-10-33    UserID [39]    Transaction Complete 
2017-12-16-10-10-33    UserID [48]    Transaction Complete 
2017-12-16-10-10-33    UserID [35]    Transaction Complete 
2017-12-16-10-10-33    UserID [33]    Transaction Complete 
2017-12-16-10-10-33    UserID [32]    Transaction Complete 
2017-12-16-10-10-33    UserID [13]    Transaction Complete 
2017-12-16-10-10-33    UserID [28]    Transaction Complete 
2017-12-16-10-10-33    UserID [38]    Transaction Complete 
2017-12-16-10-10-33    UserID [3]    Transaction Complete 
2017-12-16-10-10-33    UserID [42]    Transaction Complete 
2017-12-16-10-10-33    UserID [29]    Transaction Complete 
2017-12-16-10-10-33    UserID [31]    Transaction Complete 
2017-12-16-10-10-33    UserID [12]    Transaction Complete 
2017-12-16-10-10-33    UserID [8]    Transaction Complete 
2017-12-16-10-10-33    UserID [15]    Transaction Complete 
2017-12-16-10-10-33    UserID [0]    Transaction Complete 
2017-12-16-10-10-33    UserID [16]    Transaction Complete 
2017-12-16-10-10-33    UserID [14]    Transaction Complete 
2017-12-16-10-10-33    UserID [4]    Transaction Complete 
2017-12-16-10-10-33    UserID [37]    Transaction Complete 
2017-12-16-10-10-33    UserID [49]    Transaction Complete 
2017-12-16-10-10-33    UserID [1]    Transaction Complete 
2017-12-16-10-10-33    UserID [45]    Transaction Complete 
2017-12-16-10-10-33    UserID [47]    Transaction Complete 
2017-12-16-10-10-33    UserID [44]    Transaction Complete 
2017-12-16-10-10-33    UserID [23]    Transaction Complete 
2017-12-16-10-10-33    UserID [5]    Transaction Complete 
2017-12-16-10-10-34    UserID [21]    Transaction Complete 
2017-12-16-10-10-34    UserID [18]    Transaction Complete 
2017-12-16-10-10-34    UserID [41]    Transaction Complete 
2017-12-16-10-10-34    UserID [36]    Transaction Complete 
2017-12-16-10-10-34    UserID [25]    Transaction Complete 
2017-12-16-10-10-34    UserID [10]    Transaction Complete 
2017-12-16-10-10-34    UserID [43]    Transaction Complete 
2017-12-16-10-10-34    UserID [34]    Transaction Complete 
2017-12-16-10-10-34    UserID [9]    Transaction Complete 
2017-12-16-10-10-34    UserID [22]    Transaction Complete 
2017-12-16-10-10-34    UserID [2]    Transaction Complete 
2017-12-16-10-10-34    UserID [19]    Transaction Complete 
2017-12-16-10-10-34    UserID [38]    Transaction Complete 
2017-12-16-10-10-34    UserID [31]    Transaction Complete 
2017-12-16-10-10-34    UserID [27]    Transaction Complete 
2017-12-16-10-10-34    UserID [46]    Transaction Complete 
2017-12-16-10-10-34    UserID [33]    Transaction Complete 
2017-12-16-10-10-34    UserID [39]    Transaction Complete 
2017-12-16-10-10-34    UserID [30]    Transaction Complete 
2017-12-16-10-10-34    UserID [40]    Transaction Complete 
2017-12-16-10-10-34    UserID [7]    Transaction Complete 
2017-12-16-10-10-34    UserID [32]    Transaction Complete 
2017-12-16-10-10-34    UserID [49]    Transaction Complete 
2017-12-16-10-10-34    UserID [12]    Transaction Complete 
2017-12-16-10-10-34    UserID [17]    Transaction Complete 
2017-12-16-10-10-34    UserID [11]    Transaction Complete 
2017-12-16-10-10-34    UserID [3]    Transaction Complete 
2017-12-16-10-10-34    UserID [48]    Transaction Complete 
2017-12-16-10-10-34    UserID [29]    Transaction Complete 
2017-12-16-10-10-34    UserID [20]    Transaction Complete 
2017-12-16-10-10-34    UserID [15]    Transaction Complete 
2017-12-16-10-10-34    UserID [13]    Transaction Complete 
2017-12-16-10-10-34    UserID [14]    Transaction Complete 
2017-12-16-10-10-34    UserID [24]    Transaction Complete 
2017-12-16-10-10-34    UserID [16]    Transaction Complete 
2017-12-16-10-10-34    UserID [26]    Transaction Complete 
2017-12-16-10-10-34    UserID [42]    Transaction Complete 
2017-12-16-10-10-34    UserID [6]    Transaction Complete 
2017-12-16-10-10-34    UserID [35]    Transaction Complete 
2017-12-16-10-10-34    UserID [37]    Transaction Complete 
2017-12-16-10-10-34    UserID [28]    Transaction Complete 
2017-12-16-10-10-34    UserID [47]    Transaction Complete 
2017-12-16-10-10-34    UserID [44]    Transaction Complete 
2017-12-16-10-10-34    UserID [45]    Transaction Complete 
2017-12-16-10-10-34    UserID [0]    Transaction Complete 
2017-12-16-10-10-34    UserID [5]    Transaction Complete 
2017-12-16-10-10-34    UserID [39]    Transaction Complete 
2017-12-16-10-10-34    UserID [9]    Transaction Complete 
2017-12-16-10-10-34    UserID [8]    Transaction Complete 
2017-12-16-10-10-34    UserID [4]    Transaction Complete 
2017-12-16-10-10-34    UserID [1]    Transaction Complete 
2017-12-16-10-10-34    UserID [38]    Transaction Complete 
2017-12-16-10-10-34    UserID [18]    Transaction Complete 
2017-12-16-10-10-34    UserID [21]    Transaction Complete 
2017-12-16-10-10-35    UserID [31]    Transaction Complete 
2017-12-16-10-10-35    UserID [43]    Transaction Complete 
2017-12-16-10-10-35    UserID [19]    Transaction Complete 
2017-12-16-10-10-35    UserID [36]    Transaction Complete 
2017-12-16-10-10-35    UserID [2]    Transaction Complete 
2017-12-16-10-10-35    UserID [34]    Transaction Complete 
2017-12-16-10-10-35    UserID [23]    Transaction Complete 
2017-12-16-10-10-35    UserID [17]    Transaction Complete 
2017-12-16-10-10-35    UserID [32]    Transaction Complete 
2017-12-16-10-10-35    UserID [26]    Transaction Complete 
2017-12-16-10-10-35    UserID [40]    Transaction Complete 
2017-12-16-10-10-35    UserID [27]    Transaction Complete 
2017-12-16-10-10-35    UserID [12]    Transaction Complete 
2017-12-16-10-10-35    UserID [15]    Transaction Complete 
2017-12-16-10-10-35    UserID [25]    Transaction Complete 
2017-12-16-10-10-35    UserID [10]    Transaction Complete 
2017-12-16-10-10-35    UserID [13]    Transaction Complete 
2017-12-16-10-10-35    UserID [3]    Transaction Complete 
2017-12-16-10-10-35    UserID [41]    Transaction Complete 
2017-12-16-10-10-35    UserID [29]    Transaction Complete 
2017-12-16-10-10-35    UserID [49]    Transaction Complete 
2017-12-16-10-10-35    UserID [44]    Transaction Complete 
2017-12-16-10-10-35    UserID [30]    Transaction Complete 
2017-12-16-10-10-35    UserID [39]    Transaction Complete 
2017-12-16-10-10-35    UserID [46]    Transaction Complete 
2017-12-16-10-10-35    UserID [7]    Transaction Complete 
2017-12-16-10-10-35    UserID [35]    Transaction Complete 
2017-12-16-10-10-35    UserID [0]    Transaction Complete 
2017-12-16-10-10-35    UserID [48]    Transaction Complete 
2017-12-16-10-10-35    UserID [5]    Transaction Complete 
2017-12-16-10-10-35    UserID [14]    Transaction Complete 
2017-12-16-10-10-35    UserID [42]    Transaction Complete 
2017-12-16-10-10-35    UserID [28]    Transaction Complete 
2017-12-16-10-10-35    UserID [11]    Transaction Complete 
2017-12-16-10-10-35    UserID [22]    Transaction Complete 
2017-12-16-10-10-35    UserID [33]    Transaction Complete 
2017-12-16-10-10-35    UserID [9]    Transaction Complete 
2017-12-16-10-10-35    UserID [1]    Transaction Complete 
2017-12-16-10-10-35    UserID [24]    Transaction Complete 
2017-12-16-10-10-35    UserID [16]    Transaction Complete 
2017-12-16-10-10-35    UserID [20]    Transaction Complete 
2017-12-16-10-10-35    UserID [15]    Transaction Complete 
2017-12-16-10-10-35    UserID [47]    Transaction Complete 
2017-12-16-10-10-35    UserID [23]    Transaction Complete 
2017-12-16-10-10-35    UserID [12]    Transaction Complete 
2017-12-16-10-10-35    UserID [4]    Transaction Complete 
2017-12-16-10-10-35    UserID [6]    Transaction Complete 
2017-12-16-10-10-35    UserID [17]    Transaction Complete 
2017-12-16-10-10-35    UserID [31]    Transaction Complete 
2017-12-16-10-10-35    UserID [40]    Transaction Complete 
2017-12-16-10-10-35    UserID [18]    Transaction Complete 
2017-12-16-10-10-36    UserID [34]    Transaction Complete 
2017-12-16-10-10-36    UserID [29]    Transaction Complete 
2017-12-16-10-10-36    UserID [45]    Transaction Complete 
2017-12-16-10-10-36    UserID [37]    Transaction Complete 
2017-12-16-10-10-36    UserID [25]    Transaction Complete 
2017-12-16-10-10-36    UserID [35]    Transaction Complete 
2017-12-16-10-10-36    UserID [43]    Transaction Complete 
2017-12-16-10-10-36    UserID [21]    Transaction Complete 
2017-12-16-10-10-36    UserID [2]    Transaction Complete 
2017-12-16-10-10-36    UserID [13]    Transaction Complete 
2017-12-16-10-10-36    UserID [16]    Transaction Complete 
2017-12-16-10-10-36    UserID [0]    Transaction Complete 
2017-12-16-10-10-36    UserID [41]    Transaction Complete 
2017-12-16-10-10-36    UserID [36]    Transaction Complete 
2017-12-16-10-10-36    UserID [38]    Transaction Complete 
2017-12-16-10-10-36    UserID [3]    Transaction Complete 
2017-12-16-10-10-36    UserID [48]    Transaction Complete 
2017-12-16-10-10-36    UserID [15]    Transaction Complete 
2017-12-16-10-10-36    UserID [46]    Transaction Complete 
2017-12-16-10-10-36    UserID [27]    Transaction Complete 
2017-12-16-10-10-36    UserID [19]    Transaction Complete 
2017-12-16-10-10-36    UserID [44]    Transaction Complete 
2017-12-16-10-10-36    UserID [11]    Transaction Complete 
2017-12-16-10-10-36    UserID [8]    Transaction Complete 
2017-12-16-10-10-36    UserID [5]    Transaction Complete 
2017-12-16-10-10-36    UserID [4]    Transaction Complete 
2017-12-16-10-10-36    UserID [14]    Transaction Complete 
2017-12-16-10-10-36    UserID [30]    Transaction Complete 
2017-12-16-10-10-36    UserID [39]    Transaction Complete 
2017-12-16-10-10-36    UserID [28]    Transaction Complete 
2017-12-16-10-10-36    UserID [24]    Transaction Complete 
2017-12-16-10-10-36    UserID [33]    Transaction Complete 
2017-12-16-10-10-36    UserID [26]    Transaction Complete 
2017-12-16-10-10-36    UserID [20]    Transaction Complete 
2017-12-16-10-10-36    UserID [42]    Transaction Complete 
2017-12-16-10-10-36    UserID [22]    Transaction Complete 
2017-12-16-10-10-36    UserID [10]    Transaction Complete 
2017-12-16-10-10-36    UserID [34]    Transaction Complete 
2017-12-16-10-10-36    UserID [12]    Transaction Complete 
2017-12-16-10-10-36    UserID [17]    Transaction Complete 
2017-12-16-10-10-36    UserID [7]    Transaction Complete 
2017-12-16-10-10-36    UserID [49]    Transaction Complete 
2017-12-16-10-10-36    UserID [32]    Transaction Complete 
2017-12-16-10-10-36    UserID [45]    Transaction Complete 
2017-12-16-10-10-36    UserID [1]    Transaction Complete 
2017-12-16-10-10-36    UserID [35]    Transaction Complete 
2017-12-16-10-10-36    UserID [16]    Transaction Complete 
2017-12-16-10-10-36    UserID [13]    Transaction Complete 
2017-12-16-10-10-36    UserID [29]    Transaction Complete 
2017-12-16-10-10-36    UserID [23]    Transaction Complete 
2017-12-16-10-10-36    UserID [9]    Transaction Complete 
2017-12-16-10-10-37    UserID [18]    Transaction Complete 
2017-12-16-10-10-37    UserID [37]    Transaction Complete 
2017-12-16-10-10-37    UserID [6]    Transaction Complete 
2017-12-16-10-10-37    UserID [40]    Transaction Complete 
2017-12-16-10-10-37    UserID [0]    Transaction Complete 
2017-12-16-10-10-37    UserID [33]    Transaction Complete 
2017-12-16-10-10-37    UserID [14]    Transaction Complete 
2017-12-16-10-10-37    UserID [8]    Transaction Complete 
2017-12-16-10-10-37    UserID [3]    Transaction Complete 
2017-12-16-10-10-37    UserID [44]    Transaction Complete 
2017-12-16-10-10-37    UserID [38]    Transaction Complete 
2017-12-16-10-10-37    UserID [20]    Transaction Complete 
2017-12-16-10-10-37    UserID [25]    Transaction Complete 
2017-12-16-10-10-37    UserID [47]    Transaction Complete 
2017-12-16-10-10-37    UserID [41]    Transaction Complete 
2017-12-16-10-10-37    UserID [36]    Transaction Complete 
2017-12-16-10-10-37    UserID [48]    Transaction Complete 
2017-12-16-10-10-37    UserID [22]    Transaction Complete 
2017-12-16-10-10-37    UserID [15]    Transaction Complete 
2017-12-16-10-10-37    UserID [32]    Transaction Complete 
2017-12-16-10-10-37    UserID [2]    Transaction Complete 
2017-12-16-10-10-37    UserID [21]    Transaction Complete 
2017-12-16-10-10-37    UserID [5]    Transaction Complete 
2017-12-16-10-10-37    UserID [27]    Transaction Complete 
2017-12-16-10-10-37    UserID [43]    Transaction Complete 
